user_id,age,gender,occupation,daily_screen_time_hours,phone_usage_before_sleep_minutes,sleep_duration_hours,sleep_quality_score,stress_level,caffeine_intake_cups,physical_activity_minutes,notifications_received_per_day,mental_fatigue_score
71,57,Male,Software Engineer,6.17,118,7.94,6.07,8.04,1,44,28,8.05
72,38,Male,Researcher,9.88,64,8.93,4.67,10.0,0,84,181,10.0
73,33,Male,Doctor,2.78,12,7.06,8.78,3.19,2,82,56,4.12
74,35,Female,Software Engineer,2.56,39,7.61,7.56,4.87,3,79,159,5.18
75,41,Female,Doctor,8.73,31,8.23,3.68,10.0,0,70,51,10.0
76,43,Female,Software Engineer,3.62,66,7.76,6.81,6.02,0,28,129,6.53
77,42,Male,Designer,3.99,13,8.71,7.77,4.32,2,82,251,3.92
78,58,Female,Software Engineer,5.94,119,5.15,5.61,9.2,1,32,48,8.96
79,46,Female,Designer,4.43,119,8.54,6.0,7.39,0,87,89,8.79
80,32,Female,Researcher,3.59,57,5.04,7.2,5.67,4,50,276,5.69
81,18,Female,Student,9.25,91,6.83,4.13,10.0,0,112,166,10.0
82,42,Male,Software Engineer,2.16,45,6.61,7.16,4.26,1,82,276,3.81
83,24,Male,Student,4.64,89,8.16,5.68,7.51,3,4,113,8.48
84,26,Male,Teacher,1.03,84,5.99,8.91,2.71,0,36,228,2.9
85,41,Female,Manager,8.27,109,4.72,3.61,10.0,2,88,76,10.0
86,18,Other,Manager,2.52,114,7.53,6.58,5.06,1,2,31,3.93
87,25,Male,Designer,7.96,74,7.03,5.31,9.51,0,91,138,10.0
88,41,Male,Researcher,2.34,90,8.14,6.57,3.26,3,89,53,3.72
89,28,Male,Researcher,4.75,107,7.79,5.36,8.04,2,10,100,6.42
90,34,Female,Software Engineer,7.55,58,8.47,3.5,10.0,4,10,92,9.55
91,25,Male,Manager,3.44,64,8.2,8.3,4.38,0,6,28,4.97
92,52,Male,Student,3.83,32,7.43,8.8,2.74,0,89,129,1.14
93,52,Male,Manager,7.01,45,6.33,6.68,9.17,1,110,293,9.75
94,50,Female,Manager,2.69,81,4.1,7.48,5.46,3,67,232,5.83
95,22,Female,Doctor,9.57,53,5.54,3.15,10.0,1,18,22,10.0
96,59,Female,Manager,2.7,65,7.64,7.08,5.0,4,33,56,5.42
97,56,Male,Student,7.75,3,4.3,5.19,9.21,4,9,285,7.27
98,58,Male,Manager,8.22,53,7.78,4.2,10.0,0,1,291,10.0
99,45,Male,Software Engineer,4.37,113,6.58,5.54,8.33,4,70,57,7.21
100,24,Male,Manager,2.41,3,8.34,8.31,3.28,2,107,151,3.25
101,26,Male,Teacher,2.49,118,7.3,7.86,2.57,0,34,148,1.63
102,25,Male,Manager,9.87,16,7.99,4.84,10.0,2,31,273,9.87
103,29,Female,Designer,7.53,111,4.86,5.73,9.16,4,14,134,9.44
104,51,Male,Researcher,5.05,79,4.86,5.43,8.59,1,11,199,7.23
105,50,Male,Doctor,3.32,72,5.06,7.51,4.53,0,62,195,5.48
106,40,Female,Freelancer,1.17,89,5.67,7.7,1.0,1,110,234,1.89
107,41,Female,Student,7.03,73,8.52,5.77,7.95,0,107,184,7.49
108,54,Female,Researcher,9.61,70,7.87,4.87,10.0,1,76,91,9.78
109,52,Female,Researcher,1.96,72,5.82,8.95,1.49,3,42,132,2.59
110,57,Male,Manager,7.79,54,8.59,4.85,9.32,0,71,65,9.45
111,39,Female,Manager,2.38,47,7.89,8.02,4.21,0,102,143,2.53
112,44,Female,Software Engineer,8.13,90,7.28,5.36,10.0,2,84,61,10.0
113,52,Male,Freelancer,4.34,95,6.18,8.14,3.61,3,26,145,4.41
114,18,Male,Software Engineer,7.41,48,7.26,5.58,10.0,1,54,180,10.0
115,52,Female,Designer,9.34,22,6.97,4.78,10.0,3,80,236,8.74
116,54,Male,Freelancer,6.58,26,7.91,6.17,8.59,1,74,195,8.36
117,31,Male,Researcher,9.29,24,5.13,2.97,10.0,0,71,182,9.33
118,20,Male,Doctor,3.12,92,8.43,7.22,4.68,2,31,294,5.4
119,18,Male,Student,9.8,23,6.96,4.08,10.0,1,9,101,10.0
120,22,Male,Student,8.86,79,8.03,3.13,10.0,0,34,21,10.0
121,43,Male,Researcher,1.97,79,5.74,8.26,3.9,4,118,31,3.51
122,31,Male,Student,4.72,91,5.96,6.05,7.01,4,91,227,7.48
123,56,Male,Designer,9.34,19,8.69,5.88,10.0,4,95,145,10.0
124,44,Female,Designer,1.7,52,7.11,8.25,1.44,0,3,75,2.7
125,26,Male,Manager,5.08,82,5.59,4.89,7.36,0,113,93,8.09
126,32,Female,Doctor,7.51,73,4.41,5.19,10.0,1,90,180,10.0
127,32,Female,Student,1.3,25,6.17,7.01,2.72,2,115,163,2.38
128,43,Female,Student,7.78,59,8.25,5.9,9.21,1,38,177,9.12
129,59,Female,Manager,4.25,1,5.26,9.24,2.96,3,42,193,3.84
130,30,Male,Doctor,3.24,2,8.3,8.06,3.8,0,17,84,3.03
131,49,Male,Freelancer,6.18,102,4.81,5.41,8.14,0,31,279,8.15
132,56,Female,Doctor,5.9,55,4.65,7.47,5.21,2,68,134,6.4
133,49,Male,Doctor,8.87,65,7.03,4.47,10.0,1,117,282,7.86
134,21,Female,Researcher,7.08,24,8.02,4.35,10.0,1,100,113,9.52
135,47,Female,Software Engineer,4.8,108,7.9,7.21,4.54,0,27,201,4.23
136,54,Male,Doctor,6.85,67,6.72,4.95,10.0,4,38,218,10.0
137,40,Female,Teacher,7.75,14,7.19,5.66,8.53,1,76,141,9.36
138,56,Female,Designer,9.44,81,5.29,5.53,10.0,3,85,227,9.06
139,32,Male,Doctor,7.34,6,6.76,8.69,5.23,4,26,259,4.41
140,46,Male,Software Engineer,5.89,90,5.04,4.83,9.99,4,52,178,10.0
141,53,Female,Researcher,4.36,81,8.64,7.46,5.3,1,8,104,4.45
142,30,Female,Researcher,9.02,70,7.39,4.61,10.0,4,90,286,10.0
143,49,Male,Freelancer,8.13,119,6.82,5.73,10.0,3,50,49,9.63
144,24,Male,Teacher,1.69,92,5.24,7.36,4.11,1,80,134,5.09
145,39,Female,Software Engineer,7.3,40,6.04,6.03,8.76,2,11,199,7.96
146,45,Female,Software Engineer,5.85,59,7.9,5.6,7.92,1,11,249,7.27
147,19,Female,Manager,1.93,43,5.2,10.0,1.0,0,98,95,1.78
148,59,Other,Software Engineer,6.08,32,4.64,5.91,9.63,2,119,125,10.0
149,23,Male,Software Engineer,2.73,65,5.54,7.04,3.84,1,91,209,2.02
150,45,Male,Student,7.37,81,7.97,5.66,9.98,4,29,221,10.0
151,45,Female,Designer,3.51,109,8.42,5.62,6.77,0,26,290,6.28
152,37,Female,Manager,2.35,22,6.07,8.81,1.03,0,42,138,2.44
153,47,Male,Manager,1.74,63,7.91,7.75,2.57,2,95,223,1.0
154,28,Male,Student,5.42,5,5.66,6.61,7.38,3,57,292,6.76
155,45,Female,Teacher,2.8,62,6.54,7.43,3.37,0,52,140,2.32
156,42,Male,Student,8.7,42,4.1,3.87,10.0,1,101,172,9.91
157,56,Female,Manager,1.03,24,7.56,7.89,3.34,4,103,132,3.5
158,50,Male,Teacher,8.59,82,7.59,3.78,10.0,2,5,31,10.0
159,18,Male,Manager,5.69,7,4.5,9.19,5.63,3,94,64,6.71
160,44,Male,Doctor,9.3,116,5.79,2.76,10.0,4,116,98,10.0
161,30,Female,Teacher,2.84,36,6.42,9.77,1.0,3,0,282,1.0
162,58,Female,Manager,1.92,89,7.87,8.2,2.15,2,42,138,3.47
163,20,Female,Student,6.62,92,8.12,4.92,9.76,2,20,217,10.0
164,56,Female,Manager,7.36,58,7.6,4.8,9.59,3,75,192,10.0
165,23,Male,Student,4.35,27,5.08,7.48,6.43,0,11,248,6.18
166,25,Male,Teacher,1.12,52,5.78,10.0,1.0,2,119,217,1.57
167,44,Female,Student,4.66,119,5.24,4.34,9.22,3,100,262,9.2
168,26,Female,Teacher,3.1,70,7.19,6.96,4.55,0,45,261,3.89
169,54,Female,Software Engineer,4.13,54,7.24,7.94,4.13,0,85,146,4.16
170,50,Female,Designer,5.56,35,4.08,6.51,6.48,2,37,102,5.63
171,59,Male,Freelancer,7.32,61,7.66,5.46,8.39,1,50,66,8.5
172,41,Male,Teacher,9.67,14,5.15,2.71,10.0,3,79,98,10.0
173,32,Female,Freelancer,2.3,53,8.01,8.17,4.45,4,75,174,3.89
174,49,Male,Researcher,7.12,60,8.16,5.9,10.0,1,102,241,9.36
175,49,Male,Freelancer,3.1,96,7.98,6.74,5.66,0,44,24,7.24
176,41,Female,Software Engineer,2.99,53,6.04,7.33,4.76,4,13,170,4.54
177,58,Male,Software Engineer,6.7,68,5.74,6.76,7.43,1,8,193,6.82
178,29,Female,Software Engineer,7.98,28,6.18,6.14,8.26,0,1,212,7.55
179,56,Male,Freelancer,9.8,80,6.64,4.16,10.0,4,28,220,8.05
180,19,Female,Software Engineer,7.92,108,5.25,6.36,8.92,4,60,164,10.0
181,20,Female,Teacher,2.42,26,8.66,8.04,2.47,0,34,33,2.9
182,54,Female,Freelancer,3.03,80,6.52,7.16,6.73,2,85,34,5.95
183,34,Male,Freelancer,7.85,114,4.37,5.91,10.0,0,68,61,10.0
184,19,Male,Researcher,5.74,67,8.99,5.62,8.83,3,4,189,8.99
185,19,Male,Student,3.66,112,6.42,8.22,3.09,0,43,136,2.99
186,45,Male,Software Engineer,5.25,11,8.73,7.1,5.55,3,49,237,5.97
187,40,Female,Doctor,9.23,22,5.95,6.2,8.88,4,54,217,9.91
188,54,Male,Software Engineer,7.8,49,5.12,6.06,10.0,0,83,294,9.66
189,49,Male,Researcher,5.06,74,7.68,5.41,6.8,1,96,197,8.8
190,50,Male,Student,9.82,99,6.16,3.85,10.0,0,43,127,9.16
191,18,Female,Student,8.15,75,8.41,5.14,10.0,2,68,298,10.0
192,36,Male,Designer,1.05,72,6.32,8.8,1.75,0,61,157,2.27
193,19,Female,Designer,2.01,87,5.69,9.71,1.0,0,6,65,1.0
194,43,Female,Freelancer,5.99,81,8.83,6.3,8.27,4,68,208,9.88
195,49,Female,Software Engineer,4.15,26,8.15,7.37,7.16,2,0,268,8.59
196,23,Female,Software Engineer,8.31,58,5.03,3.81,10.0,0,82,289,10.0
197,49,Male,Manager,9.06,8,6.44,5.42,9.93,1,72,240,9.91
198,21,Female,Freelancer,3.17,32,4.57,7.36,5.88,4,80,273,6.17
199,28,Female,Manager,7.87,69,4.54,4.07,10.0,3,38,41,10.0
200,34,Female,Designer,5.82,50,8.27,6.16,6.62,2,8,130,5.84
201,55,Female,Software Engineer,4.53,96,8.66,4.71,10.0,2,51,292,10.0
202,41,Male,Manager,8.08,39,7.69,3.29,10.0,4,79,197,10.0
203,22,Male,Doctor,6.08,5,8.95,7.15,7.44,3,82,53,6.36
204,51,Female,Teacher,6.72,3,4.23,9.0,4.13,4,110,187,2.02
205,23,Female,Designer,1.56,2,5.66,10.0,1.85,2,77,284,1.04
206,39,Male,Designer,6.27,12,4.66,5.8,7.37,4,99,172,6.6
207,28,Male,Student,3.71,25,7.91,8.6,3.39,4,35,239,3.03
208,33,Male,Software Engineer,5.44,33,8.45,9.44,3.39,4,43,257,3.85
209,50,Female,Designer,3.0,76,6.24,6.75,3.45,2,66,121,3.13
210,26,Female,Designer,6.53,52,8.15,4.59,8.72,0,25,151,9.07
211,23,Female,Researcher,2.33,46,8.24,8.68,2.64,3,110,127,1.16
212,33,Male,Manager,2.11,7,4.7,10.0,1.0,2,10,37,3.66
213,46,Male,Doctor,2.7,75,5.88,7.73,2.33,0,42,144,2.75
214,20,Male,Freelancer,8.36,7,4.94,5.66,9.94,3,27,246,10.0
215,37,Male,Software Engineer,1.3,18,7.35,8.57,4.49,4,39,35,4.19
216,53,Female,Researcher,7.57,104,5.94,3.5,10.0,0,106,279,8.36
217,36,Male,Teacher,1.51,73,7.34,7.36,4.6,1,118,248,4.08
218,43,Female,Doctor,6.33,31,8.38,6.16,8.11,3,10,209,7.06
219,20,Female,Teacher,7.96,20,6.06,7.62,7.8,0,11,222,6.14
220,36,Female,Student,3.08,63,8.86,4.89,7.04,3,41,142,6.58
221,37,Male,Designer,2.76,22,6.04,10.0,1.62,4,90,99,1.33
222,49,Male,Manager,3.6,90,5.07,7.74,3.54,1,75,42,2.78
223,24,Male,Doctor,7.3,88,6.65,4.57,10.0,0,32,270,10.0
224,58,Female,Researcher,3.29,70,6.0,7.73,3.38,2,4,261,3.94
225,50,Female,Teacher,5.52,41,4.63,5.77,7.28,3,20,109,7.76
226,57,Male,Software Engineer,2.21,34,4.12,10.0,1.0,0,29,174,1.11
227,56,Male,Student,5.15,1,7.72,6.0,7.33,4,32,295,6.51
228,35,Female,Researcher,6.62,91,8.66,3.7,9.46,3,73,192,8.0
229,57,Female,Freelancer,1.65,70,6.2,8.7,2.58,0,0,107,2.13
230,18,Other,Student,8.34,105,4.33,4.22,10.0,4,28,137,10.0
231,28,Male,Designer,9.44,103,7.7,3.65,10.0,3,70,165,9.49
232,45,Male,Designer,2.74,75,8.34,7.1,3.02,4,50,254,3.06
233,42,Male,Teacher,7.83,51,5.62,4.52,10.0,0,96,281,9.29
234,40,Male,Teacher,3.82,16,5.11,7.49,6.51,0,64,290,6.29
235,48,Female,Student,7.09,85,5.69,6.24,9.32,2,94,249,9.38
236,47,Male,Teacher,3.76,8,8.54,9.27,3.94,4,47,180,3.62
237,59,Male,Designer,8.76,51,6.09,5.68,9.58,3,32,252,7.9
238,52,Female,Student,4.12,2,7.27,7.29,5.81,3,2,291,4.2
239,24,Male,Student,8.64,21,4.37,4.16,9.94,2,94,296,10.0
240,33,Female,Freelancer,7.9,53,5.41,6.97,7.15,1,65,62,5.93
241,43,Male,Software Engineer,2.77,35,5.14,6.4,6.45,2,17,186,6.28
242,19,Female,Software Engineer,2.41,38,4.31,7.94,2.53,3,103,201,2.19
243,18,Male,Teacher,8.02,17,4.6,5.88,9.47,4,17,92,8.83
244,29,Female,Researcher,4.51,80,6.08,9.61,3.35,2,87,256,3.67
245,22,Male,Teacher,9.54,26,6.79,4.81,9.86,4,95,217,10.0
246,54,Male,Researcher,9.49,117,5.56,4.0,10.0,1,87,193,10.0
247,49,Female,Designer,7.24,98,6.1,5.29,10.0,3,72,193,10.0
248,26,Male,Researcher,5.51,95,7.8,6.98,8.75,1,11,285,9.54
249,58,Male,Designer,2.75,66,5.24,8.46,4.13,4,26,201,4.01
250,52,Female,Software Engineer,8.94,12,4.17,5.96,10.0,1,58,175,10.0
251,36,Female,Student,1.74,16,5.28,9.24,2.19,0,102,152,3.63
252,33,Male,Doctor,4.33,60,8.61,7.6,5.83,4,68,265,4.65
253,20,Male,Manager,3.87,17,4.09,7.46,5.4,2,34,90,7.07
254,37,Male,Manager,9.63,114,4.64,1.0,10.0,4,25,233,10.0
255,41,Male,Freelancer,2.06,16,4.33,8.03,4.06,2,9,47,5.62
256,50,Other,Doctor,9.01,55,5.88,5.12,10.0,1,73,44,10.0
257,41,Female,Researcher,5.11,47,7.24,6.01,7.33,3,51,273,7.74
258,28,Male,Freelancer,1.43,15,8.55,8.97,1.0,0,2,46,1.25
259,25,Other,Teacher,7.56,85,7.97,4.56,7.76,1,76,256,8.1
260,53,Female,Manager,1.91,24,5.25,8.29,2.26,4,85,27,2.03
261,55,Female,Freelancer,3.13,64,7.17,8.05,5.02,3,20,251,4.21
262,57,Male,Manager,8.2,26,7.32,5.68,10.0,2,33,33,10.0
263,37,Male,Doctor,2.39,13,4.45,8.59,2.9,4,53,277,4.17
264,52,Female,Freelancer,3.93,91,6.14,4.23,8.93,1,116,267,10.0
265,42,Male,Doctor,4.25,110,5.56,4.35,9.05,1,25,214,7.98
266,52,Male,Software Engineer,6.3,99,4.79,5.75,10.0,3,9,276,8.49
267,42,Male,Student,8.11,115,4.29,3.01,10.0,4,107,45,10.0
268,46,Male,Designer,3.08,116,4.14,7.2,3.93,4,19,236,3.06
269,35,Female,Researcher,2.85,106,8.29,6.27,5.98,2,54,285,5.74
270,35,Female,Software Engineer,3.0,49,5.65,7.11,5.29,1,80,78,5.34
271,19,Male,Manager,4.43,95,6.47,4.55,8.43,0,87,235,8.53
272,52,Male,Designer,5.82,28,5.46,6.49,7.62,1,96,268,7.08
273,33,Female,Software Engineer,1.12,80,4.83,6.12,6.37,0,106,141,7.22
274,58,Male,Software Engineer,8.02,27,5.31,4.46,10.0,3,79,128,10.0
275,53,Female,Doctor,9.34,104,4.85,3.11,10.0,3,46,148,10.0
276,50,Female,Designer,8.59,20,7.79,5.94,9.31,1,100,85,9.32
277,21,Male,Software Engineer,1.33,23,8.54,9.18,1.0,1,48,162,1.94
278,50,Female,Doctor,5.72,45,6.17,6.29,6.75,0,97,288,7.48
279,31,Female,Teacher,8.33,59,8.11,5.6,10.0,1,106,173,10.0
280,38,Male,Designer,4.1,98,6.13,5.67,6.99,3,61,107,6.41
281,37,Male,Researcher,9.07,19,6.23,5.41,10.0,3,7,136,10.0
282,25,Other,Freelancer,8.98,51,6.43,3.59,10.0,2,14,20,10.0
283,24,Male,Software Engineer,2.28,21,8.1,8.33,2.9,0,12,24,2.26
284,20,Female,Manager,5.44,67,8.68,5.34,9.57,4,24,188,10.0
285,34,Female,Teacher,1.23,15,7.72,9.26,2.13,1,44,72,1.69
286,50,Male,Doctor,3.54,20,8.44,8.31,2.89,3,48,166,2.21
287,29,Male,Software Engineer,8.31,43,7.21,5.71,10.0,0,41,76,9.76
288,39,Female,Manager,9.78,61,8.2,3.54,10.0,2,27,285,10.0
289,39,Male,Doctor,9.22,20,6.78,5.64,10.0,0,60,240,9.83
290,47,Female,Doctor,1.38,103,7.86,7.8,3.26,1,38,115,3.93
291,55,Female,Freelancer,9.34,104,7.53,3.16,10.0,4,115,224,8.26
292,55,Female,Manager,8.4,10,7.75,5.32,8.87,0,99,281,8.11
293,25,Male,Doctor,8.81,119,5.17,4.32,10.0,1,37,55,9.97
294,44,Female,Designer,9.23,59,4.77,4.63,10.0,2,9,134,10.0
295,44,Female,Freelancer,5.39,36,7.27,6.26,5.74,0,79,79,5.32
296,51,Female,Teacher,2.9,43,6.41,9.23,2.37,1,51,208,2.75
297,38,Male,Freelancer,1.19,21,7.82,7.19,3.52,0,76,30,5.07
298,47,Female,Teacher,1.21,83,4.73,7.25,6.33,0,93,143,5.6
299,50,Female,Student,6.78,65,8.74,4.64,8.34,2,58,34,9.63
300,45,Male,Freelancer,4.04,42,7.52,6.12,6.3,0,12,228,5.98
301,50,Other,Freelancer,5.46,74,4.11,5.54,7.5,2,24,241,8.98
302,22,Male,Researcher,2.18,20,6.88,10.0,1.0,0,104,297,1.75
303,36,Male,Software Engineer,9.78,32,5.56,3.49,10.0,3,54,226,9.34
304,21,Female,Freelancer,2.17,112,5.37,7.39,5.84,4,16,278,6.37
305,52,Male,Doctor,5.0,16,8.51,7.45,5.15,4,5,104,3.78
306,34,Female,Researcher,4.99,35,8.18,8.19,6.16,3,20,198,5.08
307,45,Female,Software Engineer,1.08,13,4.05,9.79,1.58,4,20,198,1.05
308,47,Male,Researcher,7.01,36,4.91,6.73,8.3,2,27,129,8.44
309,46,Male,Researcher,5.84,30,7.6,8.39,5.39,1,75,156,4.26
310,23,Female,Teacher,5.48,3,8.24,6.5,8.3,2,71,147,6.25
311,52,Female,Teacher,8.36,5,7.59,5.64,10.0,1,100,200,9.58
312,58,Female,Doctor,3.17,49,6.63,6.92,5.68,2,82,169,5.27
313,54,Female,Designer,8.75,84,8.92,2.26,10.0,2,110,183,8.45
314,41,Male,Manager,8.78,76,7.99,2.76,10.0,1,62,202,9.56
315,46,Male,Doctor,8.44,37,6.34,5.13,10.0,3,81,116,10.0
316,48,Female,Doctor,4.07,78,6.92,5.63,7.26,3,19,195,6.32
317,52,Female,Student,2.46,4,4.22,7.94,3.15,3,75,104,3.18
318,50,Male,Manager,5.28,37,8.82,7.87,6.57,3,4,264,6.24
319,38,Female,Researcher,3.34,23,5.81,8.28,5.0,2,22,41,4.43
320,49,Female,Researcher,1.47,17,7.31,10.0,1.0,2,106,77,1.0
321,40,Female,Freelancer,3.52,92,7.33,7.23,5.6,0,83,86,6.69
322,50,Male,Researcher,5.22,31,4.28,7.17,7.19,4,8,204,7.59
323,20,Female,Designer,2.01,70,5.33,9.04,1.18,0,86,279,1.0
324,35,Female,Researcher,9.5,93,7.28,3.64,10.0,4,101,131,10.0
325,42,Female,Software Engineer,6.9,101,8.56,5.24,9.11,4,8,255,9.7
326,59,Female,Manager,2.23,89,7.89,6.91,4.89,2,103,160,4.03
327,48,Female,Designer,8.31,71,6.9,4.67,10.0,3,51,248,10.0
328,20,Female,Doctor,9.35,88,5.16,3.43,10.0,1,28,143,9.46
329,57,Other,Doctor,3.37,29,8.74,8.13,4.78,2,36,181,3.75
330,41,Male,Doctor,2.29,87,6.02,6.08,5.75,1,29,68,5.73
331,49,Male,Doctor,3.9,29,4.75,7.25,5.05,0,76,63,4.99
332,39,Female,Doctor,8.49,4,4.11,6.41,8.59,3,90,283,8.71
333,40,Male,Manager,2.58,3,8.75,7.43,5.56,0,16,294,5.18
334,19,Male,Freelancer,8.01,50,7.89,5.66,9.07,3,49,261,9.7
335,44,Male,Manager,7.45,105,5.08,5.52,8.62,2,3,28,7.28
336,59,Male,Freelancer,6.86,8,4.71,7.87,5.16,1,66,78,4.74
337,19,Male,Manager,4.9,54,8.8,5.38,8.64,3,108,257,8.76
